index,correct_features,local_mistake,time,image_size
P01004-190202.jpg,0.006,267.1073455810547,0.285826,9096192
P01004-190112.jpg,0.014,245.53362601143974,0.176821,9096192
P01004-190141.jpg,0.006,260.7207946777344,0.170998,9096192
P01004-182849.jpg,0.01,254.47134399414062,0.176511,9096192
P01004-190054.jpg,0.008,271.2721176147461,0.179039,9096192
P01004-183459.jpg,0.010899182561307902,349.2734069824219,0.165488,9096192
P01004-185944.jpg,0.006,223.6250966389974,0.177968,9096192
P01004-183512.jpg,0.008,248.89219665527344,0.165367,9096192
photo_2020-10-01_22-12-22.jpg,0.008,274.90995025634766,0.027456,916480
P01004-201954.jpg,0.006,267.4200083414714,0.175491,9096192
P01004-182859.jpg,0.01,251.3337860107422,0.169538,9096192
P01004-201527.jpg,0.006,255.77147420247397,0.175233,9096192
photo_2020-10-02_10-56-41.jpg,0.0,-1.0,0.021287,916480
photo_2020-10-02_10-57-49.jpg,0.008,258.81751251220703,0.022599,916480
P01004-201559.jpg,0.012,261.8420181274414,0.170209,9096192
P01004-202239.jpg,0.0023148148148148147,238.1260223388672,0.165804,9096192
P01004-185803.jpg,0.016,214.79816436767578,0.175651,9096192
P01004-191548.jpg,0.012,261.52899169921875,0.170937,9096192
P01004-191318.jpg,0.018,257.0728742811415,0.174918,9096192
photo_2020-10-01_22-12-29.jpg,0.01,271.81459655761716,0.033006,916480
P01004-190600.jpg,0.004,291.5965881347656,0.203142,9096192
P01004-190002.jpg,0.02,258.38096008300784,0.184145,9096192
P01004-182913.jpg,0.006,253.77942403157553,0.261165,9096192
photo_2020-10-01_22-11-56.jpg,0.012,267.68986256917316,0.020973,916480
photo_2020-10-01_22-12-16.jpg,0.008,275.2221794128418,0.027041,916480
P01004-202005.jpg,0.002,235.81561279296875,0.175446,9096192
photo_2020-10-01_22-11-40.jpg,0.0,-1.0,0.0,916480
P01004-182812.jpg,0.014,261.80729021344865,0.21451,9096192
P01004-202221.jpg,0.015267175572519083,337.19203186035156,0.164728,9096192
photo_2020-10-01_22-11-28.jpg,0.006,253.84802754720053,0.02128,916480
P01004-191212.jpg,0.0,-1.0,0.165594,9096192
P01004-190444.jpg,0.004,286.66522216796875,0.183066,9096192
P01004-191403.jpg,0.012,317.2952880859375,0.186761,9096192
P01004-191242.jpg,0.016,249.08668518066406,0.208905,9096192
P01004-182731.jpg,0.012,231.91683451334634,0.413456,9096192
P01004-185913.jpg,0.016,318.378173828125,0.162935,9096192
P01004-190916.jpg,0.008,245.2691421508789,0.193365,9096192
P01004-191505.jpg,0.026,236.26773658165564,0.191533,9096192
P01004-182844.jpg,0.014,215.86350795200892,0.186454,9096192
P01004-191256.jpg,0.004,282.3204803466797,0.166152,9096192
P01004-183132.jpg,0.006,264.0816345214844,0.182544,9096192
P01004-202040.jpg,0.009852216748768473,268.89510345458984,0.16461,9096192
P01004-183039.jpg,0.01,280.2791046142578,0.243858,9096192
P01004-183534.jpg,0.08571428571428572,393.55137125651044,0.162707,9096192
P01004-191528.jpg,0.002,214.52505493164062,0.193544,9096192
